loan_id,customer_id,product_type,origination_date,principal_amount,interest_rate,term_months,risk_grade,current_balance,delinquency_bucket,status,months_on_book
106,84,Mortgage,2022-12-25,251872.94,0.0484,240.0,B,200162.67,30-59 DPD,Active,43
107,84,Credit Card,2025-04-26,3867.24,0.1873,,A,2730.69,30-59 DPD,Active,15
108,84,Auto Loan,2024-09-05,27730.18,0.0562,36.0,B,11192.24,Current,Active,22
109,85,Credit Card,2023-02-18,6879.31,0.1688,,D,1074.65,Current,Active,41
110,87,Credit Card,2023-06-26,16099.64,0.1946,,C,8859.9,90+ DPD,Charged Off,37
111,87,Credit Card,2024-07-21,10147.95,0.188,,D,4741.83,Current,Active,24
112,88,Personal Loan,2025-02-05,5840.4,0.1502,36.0,B,2933.67,Current,Active,17
113,89,Personal Loan,2025-11-01,5880.61,0.1075,36.0,C,4794.71,30-59 DPD,Active,8
114,90,Personal Loan,2025-09-29,13904.71,0.1366,36.0,A,9567.93,Current,Active,10
115,91,Credit Card,2022-02-02,15652.8,0.1826,,B,11581.74,90+ DPD,Charged Off,53
116,92,Credit Card,2024-04-19,2995.6,0.1795,,D,1987.21,Current,Active,27
117,93,Mortgage,2024-10-10,547460.72,0.0651,180.0,C,473761.97,Current,Active,21
118,94,Auto Loan,2023-02-04,15173.76,0.1015,36.0,C,0.0,Current,Paid Off,41
119,94,Credit Card,2025-12-28,14286.38,0.161,,A,10814.08,Current,Active,7
120,95,Mortgage,2025-06-01,543593.18,0.0483,360.0,C,533456.98,Current,Active,13
121,95,Mortgage,2024-06-13,626918.81,0.0688,180.0,C,524407.65,Current,Active,25
122,95,Credit Card,2023-04-02,15286.89,0.193,,C,12965.76,30-59 DPD,Active,39
123,96,Credit Card,2024-02-22,15279.28,0.1947,,A,12235.48,Current,Active,29
124,96,Auto Loan,2025-01-20,30236.95,0.0968,60.0,A,19309.44,Current,Active,18
125,97,Credit Card,2022-05-18,1660.1,0.2356,,C,280.88,Current,Active,50
126,97,Personal Loan,2022-09-15,17330.91,0.1627,24.0,C,0.0,Current,Paid Off,46
127,98,Personal Loan,2024-11-24,14649.84,0.1493,36.0,C,6339.65,Current,Active,20
128,99,Credit Card,2023-09-13,5440.52,0.192,,B,3335.88,Current,Active,34
129,100,Auto Loan,2025-02-04,21944.39,0.0894,72.0,C,16010.63,Current,Active,17
130,101,Auto Loan,2022-12-14,12477.97,0.0899,72.0,D,4545.15,60-89 DPD,Active,43
131,102,Credit Card,2025-04-24,8194.67,0.1907,,B,2209.26,Current,Active,15
132,102,Personal Loan,2022-12-11,9333.81,0.1326,24.0,B,0.0,Current,Paid Off,43
133,103,Auto Loan,2024-09-29,13840.16,0.0652,60.0,A,8430.63,Current,Active,22
134,103,Credit Card,2023-10-29,19899.84,0.2443,,A,16373.19,Current,Active,33
135,104,Auto Loan,2024-11-19,44554.76,0.0916,36.0,A,19477.8,Current,Active,20
136,104,Auto Loan,2023-11-24,21760.28,0.0891,48.0,C,7140.47,60-89 DPD,Active,32
137,104,Auto Loan,2022-07-12,27758.7,0.0853,72.0,B,8594.76,Current,Active,48
138,105,Personal Loan,2025-12-29,9282.08,0.1426,48.0,B,8180.94,Current,Active,7
139,106,Personal Loan,2024-05-16,18574.64,0.1509,48.0,B,7876.97,Current,Active,26
140,106,Mortgage,2025-01-23,553238.76,0.0512,180.0,B,475852.7,Current,Active,18
141,107,Mortgage,2023-04-11,387258.74,0.0601,360.0,C,336656.65,Current,Active,39
142,107,Auto Loan,2024-11-04,34687.13,0.0544,72.0,A,24491.87,Current,Active,20
143,108,Auto Loan,2022-12-10,22265.97,0.0792,72.0,D,8705.13,Current,Active,43
144,109,Auto Loan,2025-10-07,36941.31,0.0901,48.0,B,30211.86,Current,Active,9
145,110,Credit Card,2022-04-07,18145.87,0.2073,,C,4293.07,Current,Active,51
146,110,Auto Loan,2024-03-01,13823.58,0.0724,72.0,A,8443.28,Current,Active,28
147,111,Mortgage,2022-02-05,648600.91,0.0716,240.0,A,520417.29,Current,Active,53
148,111,Credit Card,2023-08-26,19420.81,0.2313,,C,4147.42,Current,Active,35
149,112,Personal Loan,2022-01-07,20245.31,0.1704,24.0,C,0.0,Current,Paid Off,54
150,115,Credit Card,2026-05-26,1659.28,0.2273,,D,780.63,Current,Active,2
151,116,Credit Card,2025-08-11,16969.03,0.2302,,A,2027.86,Current,Active,11
152,117,Personal Loan,2023-03-13,23138.52,0.1375,24.0,C,0.0,Current,Paid Off,40
153,118,Personal Loan,2023-05-09,12271.64,0.142,24.0,B,0.0,Current,Paid Off,38
154,118,Mortgage,2024-05-10,510419.06,0.0681,240.0,B,436553.46,Current,Active,26
155,119,Mortgage,2024-05-14,324522.79,0.0661,360.0,B,309431.49,Current,Active,26
156,120,Personal Loan,2024-12-09,10304.51,0.1891,48.0,C,5773.19,Current,Active,19
157,120,Credit Card,2024-01-22,15893.44,0.1649,,B,2859.47,Current,Active,30
158,121,Mortgage,2026-02-01,336695.08,0.0608,180.0,C,299547.31,Current,Active,5
159,121,Credit Card,2022-02-14,6081.56,0.2216,,A,5108.91,Current,Active,53
160,121,Personal Loan,2022-04-01,5549.45,0.1388,36.0,B,0.0,Current,Paid Off,51
161,122,Personal Loan,2022-12-08,23691.71,0.1475,48.0,A,9673.86,90+ DPD,Charged Off,43
162,125,Auto Loan,2023-11-26,12299.55,0.0757,60.0,D,5013.01,90+ DPD,Charged Off,32
163,128,Personal Loan,2023-12-19,12623.01,0.1092,36.0,A,1838.1,Current,Active,31
164,131,Personal Loan,2024-05-08,22238.68,0.1516,24.0,A,0.0,Current,Paid Off,26
165,131,Personal Loan,2023-09-14,19739.63,0.1477,48.0,A,5291.62,30-59 DPD,Active,34
166,132,Mortgage,2025-03-20,607657.34,0.0657,240.0,B,561370.36,Current,Active,16
167,133,Mortgage,2026-04-09,378352.46,0.0549,360.0,A,362658.34,Current,Active,3
168,133,Auto Loan,2022-07-16,37592.32,0.1046,72.0,A,11296.83,Current,Active,48
169,138,Mortgage,2024-09-25,418291.29,0.0714,240.0,C,393206.72,Current,Active,22
170,138,Credit Card,2022-09-20,17277.53,0.2104,,B,5069.51,Current,Active,46
171,138,Personal Loan,2023-09-25,21682.84,0.1783,24.0,A,0.0,Current,Paid Off,34
172,139,Auto Loan,2024-07-01,25552.14,0.0652,72.0,B,15770.73,30-59 DPD,Active,24
173,139,Personal Loan,2024-03-23,7742.1,0.1892,36.0,B,1665.35,Current,Active,28
174,139,Personal Loan,2024-10-07,9299.8,0.1538,36.0,B,3899.22,Current,Active,21
175,140,Auto Loan,2024-01-06,21797.48,0.0768,72.0,C,12195.72,Current,Active,30
176,141,Personal Loan,2022-06-23,16237.07,0.1443,24.0,B,0.0,Current,Paid Off,49
177,141,Auto Loan,2023-07-07,30065.58,0.0972,72.0,B,24308.61,90+ DPD,Charged Off,36
178,141,Credit Card,2025-07-04,7022.75,0.2507,,B,2309.89,Current,Active,12
179,142,Credit Card,2025-04-23,17704.79,0.1982,,B,3615.17,Current,Active,15
180,142,Credit Card,2023-09-30,4326.5,0.1689,,A,1539.68,Current,Active,34
181,143,Mortgage,2022-11-07,190356.65,0.072,240.0,C,148247.7,Current,Active,44
182,143,Mortgage,2025-08-22,228868.37,0.055,360.0,C,220932.97,Current,Active,11
183,143,Credit Card,2025-01-18,19584.51,0.1858,,C,12837.37,30-59 DPD,Active,18
184,144,Auto Loan,2023-10-21,39093.45,0.0853,72.0,D,19216.81,Current,Active,33
185,145,Mortgage,2023-11-04,418075.96,0.0553,360.0,C,183453.92,90+ DPD,Charged Off,32
186,145,Mortgage,2024-04-23,601040.1,0.0475,180.0,C,515415.07,Current,Active,27
187,146,Auto Loan,2022-08-18,17650.81,0.0623,72.0,B,13843.29,90+ DPD,Charged Off,47
188,146,Personal Loan,2023-11-19,22131.4,0.1747,24.0,B,0.0,Current,Paid Off,32
189,146,Auto Loan,2024-06-02,21819.79,0.0841,48.0,A,10767.88,Current,Active,25
190,147,Mortgage,2025-10-28,468778.83,0.0489,240.0,B,421102.62,Current,Active,9
191,147,Credit Card,2025-12-17,15079.87,0.2029,,B,9654.66,Current,Active,7
192,147,Auto Loan,2022-10-02,33323.11,0.0891,72.0,A,11975.54,Current,Active,45
193,148,Personal Loan,2025-11-01,6678.78,0.1025,36.0,B,5296.72,Current,Active,8
194,148,Personal Loan,2023-07-21,6743.16,0.1014,36.0,B,0.0,Current,Paid Off,36
195,150,Auto Loan,2023-02-13,18610.9,0.1008,72.0,B,8115.96,Current,Active,41
196,150,Personal Loan,2025-11-01,13004.4,0.1636,48.0,C,11324.63,Current,Active,8
197,150,Personal Loan,2023-07-02,16651.87,0.1218,36.0,A,0.0,Current,Paid Off,36
198,151,Auto Loan,2023-01-02,11747.31,0.0553,48.0,D,1365.73,Current,Active,42
199,151,Auto Loan,2024-10-11,31661.03,0.0864,72.0,C,23237.3,Current,Active,21
200,152,Credit Card,2025-10-07,11055.65,0.1982,,A,5929.18,Current,Active,9
201,152,Credit Card,2022-06-06,19046.74,0.2366,,A,15359.39,Current,Active,49
202,152,Personal Loan,2022-09-19,3652.31,0.1215,36.0,B,0.0,Current,Paid Off,46
203,153,Mortgage,2026-04-22,273579.6,0.0572,360.0,D,259115.69,30-59 DPD,Active,3
204,153,Auto Loan,2024-12-19,42797.44,0.1014,60.0,C,28682.65,Current,Active,19
205,154,Personal Loan,2025-02-13,8758.68,0.1424,48.0,C,5588.77,Current,Active,17
206,155,Credit Card,2022-03-28,12015.15,0.2446,,B,6304.88,Current,Active,52
207,156,Auto Loan,2022-07-12,24512.61,0.078,48.0,A,0.0,Current,Paid Off,48
208,157,Auto Loan,2023-07-28,26931.29,0.0999,60.0,C,9981.21,Current,Active,36
209,158,Mortgage,2022-08-21,343319.88,0.0664,240.0,B,263229.18,Current,Active,47
210,158,Personal Loan,2022-09-20,16619.38,0.1458,24.0,B,0.0,Current,Paid Off,46
211,158,Personal Loan,2025-11-10,8144.14,0.1327,36.0,B,5856.39,Current,Active,8
212,159,Credit Card,2022-07-15,17342.99,0.2312,,A,3251.16,Current,Active,48
213,159,Auto Loan,2023-09-08,29653.88,0.0898,72.0,B,14861.16,Current,Active,34
214,161,Auto Loan,2024-03-17,30650.29,0.0536,36.0,B,6135.41,Current,Active,28
215,161,Credit Card,2025-01-29,1004.98,0.2027,,B,240.07,Current,Active,18
216,161,Credit Card,2022-08-15,8879.93,0.1894,,C,1738.19,Current,Active,47
217,162,Personal Loan,2025-08-20,15719.91,0.097,24.0,D,7738.34,Current,Active,11
218,162,Credit Card,2023-12-17,7671.13,0.2195,,B,3194.47,Current,Active,31
219,163,Credit Card,2022-04-21,8683.71,0.1872,,B,4646.59,Current,Active,51
220,165,Personal Loan,2023-12-08,9263.17,0.1594,24.0,B,0.0,Current,Paid Off,31
221,165,Credit Card,2023-05-14,2127.67,0.2461,,D,851.07,90+ DPD,Charged Off,38
222,166,Auto Loan,2026-01-21,16108.95,0.1076,60.0,C,14389.88,Current,Active,6
223,167,Personal Loan,2022-07-13,8428.76,0.1378,36.0,A,0.0,Current,Paid Off,48
224,167,Credit Card,2025-08-08,16817.88,0.2214,,A,2385.05,Current,Active,11
225,169,Personal Loan,2025-11-20,3372.97,0.0945,36.0,A,2495.52,Current,Active,8
226,169,Personal Loan,2025-11-27,19911.52,0.162,36.0,C,15168.75,Current,Active,8
227,170,Mortgage,2023-04-28,497880.48,0.0589,240.0,A,382636.32,Current,Active,39
228,171,Auto Loan,2025-11-03,44268.37,0.0929,72.0,B,40891.99,Current,Active,8
229,172,Personal Loan,2022-09-08,14143.57,0.1635,36.0,D,0.0,Current,Paid Off,46
230,173,Personal Loan,2022-03-07,9436.97,0.1287,24.0,B,0.0,Current,Paid Off,52
231,174,Auto Loan,2023-03-30,17076.62,0.0791,36.0,A,0.0,Current,Paid Off,40
232,175,Personal Loan,2023-06-09,16343.07,0.157,48.0,A,3605.82,Current,Active,37
233,176,Personal Loan,2023-02-25,14831.9,0.1679,36.0,C,0.0,Current,Paid Off,41
234,176,Personal Loan,2022-01-16,23180.46,0.1501,48.0,C,0.0,Current,Paid Off,54
235,176,Mortgage,2026-04-09,350260.78,0.0655,360.0,C,325980.99,90+ DPD,Active,3
236,177,Mortgage,2025-01-26,331399.44,0.0638,180.0,D,279704.61,60-89 DPD,Active,18
237,177,Personal Loan,2025-08-30,7185.87,0.124,24.0,C,4019.88,Current,Active,11
238,178,Personal Loan,2026-01-03,19501.38,0.1534,48.0,C,16580.94,Current,Active,6
239,178,Auto Loan,2024-09-22,8808.56,0.0806,48.0,B,4442.03,Current,Active,22
240,179,Credit Card,2026-05-06,16951.07,0.2394,,C,7038.37,30-59 DPD,Active,2
241,179,Mortgage,2022-06-18,419287.08,0.0492,240.0,A,318370.44,Current,Active,49
242,180,Credit Card,2024-11-30,4189.11,0.2306,,A,2466.64,Current,Active,20
243,180,Credit Card,2023-04-13,10227.77,0.1621,,B,8632.22,Current,Active,39
244,181,Credit Card,2026-03-05,16786.26,0.2285,,B,3949.27,Current,Active,4
245,182,Auto Loan,2024-03-03,8938.8,0.0746,36.0,B,1810.24,Current,Active,28
246,182,Personal Loan,2024-11-03,16284.01,0.1815,36.0,D,7081.42,Current,Active,20
247,184,Credit Card,2025-04-25,4878.84,0.2428,,B,1599.41,Current,Active,15
248,186,Credit Card,2022-05-21,16491.4,0.171,,C,10429.7,Current,Active,50
249,190,Mortgage,2024-03-26,167447.35,0.0562,180.0,C,133375.27,Current,Active,28
250,191,Credit Card,2025-05-21,13089.9,0.2119,,B,2761.26,Current,Active,14
251,192,Credit Card,2023-07-06,15585.66,0.221,,E,9119.52,30-59 DPD,Active,36
252,193,Credit Card,2023-01-16,5450.63,0.2114,,E,2522.54,Current,Active,42
253,194,Auto Loan,2022-01-05,9106.73,0.075,72.0,A,2160.48,Current,Active,54
254,195,Credit Card,2024-01-29,11548.48,0.1773,,B,10483.78,90+ DPD,Charged Off,30
255,196,Auto Loan,2025-04-03,26980.92,0.0912,60.0,B,19167.24,Current,Active,15
256,197,Auto Loan,2022-10-19,30625.58,0.1074,72.0,D,10774.58,Current,Active,45
257,197,Mortgage,2026-05-13,258350.26,0.0492,240.0,C,256814.36,Current,Active,2
258,197,Auto Loan,2025-05-16,33844.77,0.1079,72.0,C,27511.66,Current,Active,14
259,200,Auto Loan,2024-10-30,25582.29,0.1073,48.0,B,13111.34,Current,Active,21
260,201,Credit Card,2022-05-04,5059.88,0.2027,,A,3177.35,60-89 DPD,Active,50
261,202,Mortgage,2025-03-25,241371.49,0.0665,180.0,D,222102.48,Current,Active,16
262,203,Mortgage,2026-03-30,205512.55,0.0672,240.0,B,188829.9,Current,Active,4
263,203,Credit Card,2024-11-10,10931.36,0.2346,,D,2126.93,Current,Active,20
264,204,Mortgage,2023-02-07,588222.63,0.0655,240.0,B,479652.61,Current,Active,41
265,205,Credit Card,2023-05-17,11193.28,0.1751,,B,6430.67,Current,Active,38
266,205,Personal Loan,2022-09-26,18271.86,0.1035,36.0,E,0.0,Current,Paid Off,46
267,205,Auto Loan,2024-01-18,18283.32,0.06,72.0,B,11147.21,Current,Active,30
268,206,Credit Card,2025-07-19,18952.09,0.2397,,D,4856.99,Current,Active,12
269,206,Auto Loan,2022-04-05,20179.76,0.0831,48.0,B,0.0,Current,Paid Off,51
270,206,Personal Loan,2024-02-07,9089.1,0.1146,48.0,C,3282.09,30-59 DPD,Active,29
271,207,Credit Card,2023-02-21,16728.92,0.2152,,E,7829.48,90+ DPD,Charged Off,41
272,207,Auto Loan,2025-06-07,14488.09,0.0823,36.0,E,5479.24,90+ DPD,Charged Off,13
273,208,Personal Loan,2023-04-30,12249.94,0.1484,48.0,B,2222.9,Current,Active,39
274,210,Mortgage,2022-08-28,438928.32,0.0581,180.0,A,315729.99,Current,Active,47
275,210,Personal Loan,2024-01-23,3758.19,0.1445,48.0,B,1299.44,Current,Active,30
276,211,Credit Card,2025-10-13,3481.93,0.212,,A,2785.13,Current,Active,9
277,211,Credit Card,2024-02-10,6685.62,0.2033,,C,1296.52,Current,Active,29
278,212,Personal Loan,2022-05-17,14760.89,0.1604,24.0,B,0.0,Current,Paid Off,50
279,212,Personal Loan,2026-04-17,16767.54,0.1158,48.0,C,14801.19,Current,Active,3
280,213,Credit Card,2022-08-21,19175.01,0.2428,,B,6869.74,Current,Active,47
281,214,Credit Card,2023-03-21,19019.83,0.2242,,D,4111.19,Current,Active,40
282,214,Auto Loan,2026-01-01,11276.73,0.0687,48.0,B,9988.89,Current,Active,6
283,215,Auto Loan,2023-01-25,10463.85,0.0849,60.0,B,2950.59,Current,Active,42
284,216,Credit Card,2025-04-24,11946.42,0.2223,,C,6677.38,Current,Active,15
285,219,Personal Loan,2023-10-01,9068.35,0.1455,24.0,C,0.0,Current,Paid Off,33
286,219,Auto Loan,2025-02-03,26451.43,0.0738,48.0,B,16220.33,Current,Active,17
287,219,Personal Loan,2026-05-06,19736.94,0.0929,36.0,A,17732.03,Current,Active,2
288,220,Mortgage,2025-12-22,381131.24,0.0619,240.0,D,347524.61,Current,Active,7
289,221,Credit Card,2022-05-26,3319.24,0.2419,,C,1393.42,Current,Active,50
290,221,Auto Loan,2025-08-28,41110.44,0.0614,36.0,C,26525.76,Current,Active,11
291,222,Personal Loan,2022-07-20,24216.58,0.1728,24.0,A,0.0,Current,Paid Off,48
292,223,Auto Loan,2025-09-24,26276.42,0.0901,60.0,B,20935.79,Current,Active,10
293,223,Credit Card,2022-11-19,1380.25,0.2363,,A,303.14,Current,Active,44
294,226,Personal Loan,2025-03-18,16318.21,0.1846,48.0,B,10017.98,Current,Active,16
295,227,Auto Loan,2026-03-23,33617.68,0.065,72.0,A,26959.6,90+ DPD,Charged Off,4
296,228,Personal Loan,2024-10-17,8342.47,0.1626,36.0,B,3447.31,Current,Active,21
