customer_id,age,income_bracket,credit_band,region,segment,tenure_years,join_date
49,29,<40k,Poor,Midwest,Mass Market,5.3,2021-03-14
50,49,125k-200k,Excellent,West,Mass Market,12.4,2014-02-05
51,42,125k-200k,Good,West,Affluent,6.4,2020-02-06
52,46,<40k,Fair,West,Mass Market,5.0,2021-07-01
53,66,40k-75k,Good,South,Mass Market,1.6,2024-11-24
54,39,125k-200k,Good,Midwest,Mass Market,6.4,2020-02-06
55,49,75k-125k,Fair,Northeast,Mass Market,15.8,2010-09-13
56,34,40k-75k,Good,West,Mass Market,7.2,2019-04-20
57,44,<40k,Excellent,South,Mass Market,6.1,2020-05-25
58,43,125k-200k,Excellent,South,Mass Market,25.0,2001-07-01
59,34,40k-75k,Excellent,South,Mass Market,7.9,2018-08-07
60,35,75k-125k,Good,South,Mass Market,1.6,2024-11-24
61,44,75k-125k,Good,Northeast,Mass Market,12.5,2013-12-31
62,48,200k+,Good,South,Affluent,1.3,2025-03-14
63,47,40k-75k,Fair,West,Mass Market,14.3,2012-03-13
64,48,40k-75k,Fair,Midwest,Mass Market,17.1,2009-05-26
65,34,125k-200k,Good,South,Mass Market,23.9,2002-08-07
66,55,<40k,Excellent,Midwest,Mass Market,1.8,2024-09-12
67,38,125k-200k,Excellent,South,Affluent,0.2,2026-04-19
68,33,125k-200k,Good,West,Mass Market,0.4,2026-02-05
69,44,200k+,Poor,Northeast,Affluent,2.4,2024-02-06
70,53,75k-125k,Good,Northeast,Private Banking,5.3,2021-03-14
71,46,125k-200k,Fair,Midwest,Mass Market,1.2,2025-04-19
72,54,125k-200k,Poor,South,Mass Market,5.4,2021-02-05
73,35,200k+,Excellent,Northeast,Mass Market,8.6,2017-11-24
74,43,75k-125k,Excellent,West,Mass Market,2.4,2024-02-06
75,36,75k-125k,Good,Northeast,Affluent,6.1,2020-05-25
76,26,75k-125k,Excellent,Midwest,Mass Market,0.5,2025-12-31
77,21,<40k,Excellent,West,Mass Market,2.0,2024-07-01
78,41,125k-200k,Good,Northeast,Private Banking,8.5,2017-12-31
79,57,200k+,Fair,Northeast,Affluent,2.9,2023-08-07
80,69,<40k,Good,Northeast,Mass Market,0.3,2026-03-14
81,33,75k-125k,Fair,West,Mass Market,5.6,2020-11-24
82,21,<40k,Fair,Midwest,Mass Market,4.4,2022-02-05
83,58,75k-125k,Good,South,Mass Market,2.5,2023-12-31
84,52,75k-125k,Good,South,Mass Market,17.2,2009-04-19
85,77,75k-125k,Good,South,Mass Market,5.7,2020-10-19
86,33,200k+,Good,West,Affluent,3.0,2023-07-02
87,52,<40k,Poor,Northeast,Mass Market,8.6,2017-11-24
88,56,<40k,Fair,Midwest,Mass Market,3.4,2023-02-06
89,34,75k-125k,Good,South,Affluent,2.9,2023-08-07
90,23,200k+,Excellent,West,Private Banking,5.6,2020-11-24
91,48,40k-75k,Fair,Midwest,Mass Market,1.8,2024-09-12
92,61,200k+,Good,West,Private Banking,1.8,2024-09-12
93,45,75k-125k,Poor,West,Mass Market,6.5,2019-12-31
94,49,40k-75k,Excellent,Northeast,Mass Market,3.1,2023-05-26
95,21,40k-75k,Good,West,Mass Market,1.0,2025-07-01
96,40,<40k,Good,West,Mass Market,3.3,2023-03-14
97,52,75k-125k,Good,South,Mass Market,4.5,2021-12-31
98,34,75k-125k,Good,West,Affluent,10.7,2015-10-19
99,32,125k-200k,Good,South,Mass Market,4.6,2021-11-24
100,53,200k+,Fair,South,Mass Market,0.3,2026-03-14
101,25,40k-75k,Fair,Northeast,Mass Market,0.2,2026-04-19
102,61,125k-200k,Excellent,South,Mass Market,8.0,2018-07-01
103,40,40k-75k,Good,South,Affluent,18.9,2007-08-07
104,47,200k+,Good,South,Mass Market,2.7,2023-10-19
105,22,125k-200k,Good,West,Mass Market,0.2,2026-04-19
106,50,75k-125k,Good,Midwest,Private Banking,3.5,2022-12-31
107,51,<40k,Excellent,Northeast,Mass Market,13.3,2013-03-14
108,47,125k-200k,Poor,Midwest,Mass Market,3.3,2023-03-14
109,47,125k-200k,Good,Northeast,Affluent,0.8,2025-09-12
110,35,40k-75k,Good,West,Mass Market,0.5,2025-12-31
111,64,75k-125k,Excellent,South,Affluent,16.7,2009-10-19
112,41,<40k,Fair,South,Mass Market,5.8,2020-09-12
113,53,<40k,Good,Northeast,Mass Market,5.1,2021-05-26
114,38,125k-200k,Excellent,South,Private Banking,3.2,2023-04-20
115,51,75k-125k,Poor,West,Mass Market,0.3,2026-03-14
116,22,75k-125k,Good,South,Mass Market,2.8,2023-09-13
117,21,125k-200k,Excellent,Midwest,Mass Market,4.7,2021-10-19
118,34,75k-125k,Good,South,Affluent,1.0,2025-07-01
119,49,125k-200k,Excellent,South,Mass Market,0.5,2025-12-31
120,60,125k-200k,Good,West,Mass Market,2.7,2023-10-19
121,63,200k+,Excellent,West,Affluent,9.1,2017-05-26
122,21,<40k,Poor,South,Mass Market,0.4,2026-02-05
123,32,40k-75k,Poor,Northeast,Mass Market,2.2,2024-04-19
124,57,40k-75k,Fair,Northeast,Mass Market,9.3,2017-03-14
125,52,<40k,Fair,Midwest,Mass Market,0.2,2026-04-19
126,28,40k-75k,Good,West,Mass Market,1.6,2024-11-24
127,21,125k-200k,Good,Midwest,Affluent,12.8,2013-09-12
128,29,75k-125k,Excellent,Northeast,Mass Market,11.6,2014-11-25
129,41,<40k,Poor,West,Mass Market,8.6,2017-11-24
130,21,75k-125k,Poor,Northeast,Mass Market,0.3,2026-03-14
131,45,75k-125k,Excellent,Midwest,Mass Market,1.2,2025-04-19
132,30,200k+,Excellent,Northeast,Affluent,4.2,2022-04-19
133,55,75k-125k,Excellent,Midwest,Mass Market,13.7,2012-10-19
134,52,40k-75k,Fair,Northeast,Mass Market,0.2,2026-04-19
135,27,75k-125k,Fair,West,Mass Market,13.6,2012-11-24
136,29,125k-200k,Good,Midwest,Affluent,1.0,2025-07-01
137,55,200k+,Excellent,Northeast,Private Banking,1.9,2024-08-07
138,42,75k-125k,Good,West,Mass Market,0.4,2026-02-05
139,21,75k-125k,Good,Northeast,Mass Market,0.2,2026-04-19
140,29,125k-200k,Fair,Northeast,Affluent,7.2,2019-04-20
141,27,125k-200k,Good,West,Affluent,8.8,2017-09-12
142,35,75k-125k,Good,Northeast,Affluent,6.2,2020-04-19
143,29,40k-75k,Fair,West,Mass Market,3.9,2022-08-07
144,21,75k-125k,Fair,West,Affluent,8.5,2017-12-31
145,21,75k-125k,Good,Midwest,Mass Market,8.0,2018-07-01
146,39,200k+,Excellent,Northeast,Affluent,3.8,2022-09-13
147,44,125k-200k,Excellent,South,Mass Market,2.1,2024-05-25
148,55,75k-125k,Good,Midwest,Mass Market,3.7,2022-10-19
149,47,75k-125k,Good,Midwest,Affluent,1.2,2025-04-19
150,31,75k-125k,Excellent,South,Mass Market,1.3,2025-03-14
151,38,75k-125k,Good,Northeast,Affluent,9.6,2016-11-24
152,44,<40k,Excellent,Northeast,Mass Market,2.3,2024-03-13
153,42,125k-200k,Fair,Northeast,Mass Market,12.2,2014-04-19
154,60,75k-125k,Good,West,Private Banking,2.0,2024-07-01
155,38,75k-125k,Good,Northeast,Affluent,4.2,2022-04-19
156,50,40k-75k,Good,West,Mass Market,4.9,2021-08-07
157,70,40k-75k,Excellent,Midwest,Affluent,11.4,2015-02-06
158,51,125k-200k,Fair,Midwest,Affluent,1.8,2024-09-12
159,61,75k-125k,Excellent,Northeast,Affluent,7.0,2019-07-02
160,68,125k-200k,Good,West,Affluent,1.8,2024-09-12
161,44,40k-75k,Fair,Midwest,Mass Market,10.8,2015-09-13
162,56,125k-200k,Fair,South,Mass Market,1.8,2024-09-12
163,59,75k-125k,Good,South,Mass Market,2.4,2024-02-06
164,21,200k+,Excellent,Northeast,Private Banking,2.8,2023-09-13
165,61,75k-125k,Poor,Northeast,Mass Market,18.4,2008-02-06
166,30,<40k,Fair,West,Affluent,7.8,2018-09-13
167,44,200k+,Excellent,Midwest,Private Banking,1.2,2025-04-19
168,58,125k-200k,Fair,Midwest,Affluent,2.7,2023-10-19
169,24,75k-125k,Excellent,West,Mass Market,1.6,2024-11-24
170,48,200k+,Good,West,Mass Market,2.1,2024-05-25
171,55,40k-75k,Good,South,Mass Market,2.9,2023-08-07
172,53,125k-200k,Good,South,Mass Market,8.8,2017-09-12
173,34,75k-125k,Good,Midwest,Mass Market,1.7,2024-10-19
174,39,<40k,Good,Northeast,Mass Market,12.6,2013-11-24
175,37,40k-75k,Fair,West,Mass Market,11.7,2014-10-19
176,39,75k-125k,Fair,South,Mass Market,5.3,2021-03-14
177,21,125k-200k,Fair,South,Affluent,3.2,2023-04-20
178,59,75k-125k,Fair,Midwest,Mass Market,6.2,2020-04-19
179,43,75k-125k,Good,Northeast,Mass Market,9.6,2016-11-24
180,53,75k-125k,Fair,West,Affluent,4.0,2022-07-01
181,51,200k+,Excellent,Northeast,Mass Market,6.6,2019-11-25
182,26,125k-200k,Good,South,Affluent,1.5,2024-12-31
183,49,40k-75k,Fair,South,Mass Market,1.4,2025-02-05
184,49,75k-125k,Good,West,Affluent,9.2,2017-04-19
185,32,125k-200k,Excellent,Midwest,Affluent,2.4,2024-02-06
186,49,200k+,Good,South,Affluent,4.0,2022-07-01
187,23,40k-75k,Poor,South,Mass Market,0.4,2026-02-05
188,46,<40k,Good,South,Mass Market,10.4,2016-02-06
189,51,125k-200k,Good,West,Affluent,0.9,2025-08-07
190,60,200k+,Excellent,Midwest,Affluent,5.3,2021-03-14
191,45,40k-75k,Good,Midwest,Affluent,16.7,2009-10-19
192,49,40k-75k,Poor,Northeast,Mass Market,0.2,2026-04-19
193,67,75k-125k,Poor,Northeast,Affluent,1.2,2025-04-19
194,61,125k-200k,Good,West,Affluent,8.5,2017-12-31
195,42,75k-125k,Good,Midwest,Mass Market,8.0,2018-07-01
196,44,<40k,Fair,Midwest,Mass Market,1.1,2025-05-26
197,57,200k+,Fair,West,Mass Market,6.2,2020-04-19
198,45,200k+,Good,Northeast,Mass Market,5.8,2020-09-12
199,40,125k-200k,Excellent,South,Affluent,9.8,2016-09-12
200,29,75k-125k,Good,South,Affluent,2.3,2024-03-13
201,23,40k-75k,Good,West,Mass Market,2.4,2024-02-06
202,55,<40k,Fair,Midwest,Mass Market,18.8,2007-09-13
203,39,40k-75k,Fair,West,Mass Market,7.1,2019-05-26
204,40,40k-75k,Good,West,Mass Market,0.4,2026-02-05
205,31,<40k,Fair,Midwest,Mass Market,2.3,2024-03-13
206,42,40k-75k,Fair,Northeast,Mass Market,6.3,2020-03-13
207,73,75k-125k,Poor,Midwest,Mass Market,3.0,2023-07-02
208,21,75k-125k,Good,Northeast,Affluent,8.8,2017-09-12
209,49,75k-125k,Good,Midwest,Affluent,7.6,2018-11-25
210,36,75k-125k,Excellent,West,Mass Market,7.7,2018-10-19
211,45,75k-125k,Excellent,Midwest,Mass Market,7.0,2019-07-02
212,64,75k-125k,Fair,Northeast,Mass Market,1.6,2024-11-24
213,57,200k+,Good,West,Mass Market,9.9,2016-08-07
214,56,75k-125k,Fair,West,Mass Market,4.0,2022-07-01
215,35,40k-75k,Good,South,Mass Market,5.4,2021-02-05
216,45,75k-125k,Good,Northeast,Mass Market,2.1,2024-05-25
217,52,125k-200k,Fair,West,Affluent,0.5,2025-12-31
218,35,40k-75k,Fair,Northeast,Affluent,0.2,2026-04-19
219,41,125k-200k,Good,Northeast,Mass Market,7.4,2019-02-06
220,47,125k-200k,Poor,Midwest,Mass Market,1.6,2024-11-24
221,46,125k-200k,Good,Northeast,Mass Market,4.0,2022-07-01
222,23,40k-75k,Excellent,Midwest,Mass Market,3.0,2023-07-02
223,21,75k-125k,Excellent,Northeast,Mass Market,4.7,2021-10-19
224,39,200k+,Excellent,South,Private Banking,1.5,2024-12-31
225,41,125k-200k,Excellent,Midwest,Affluent,1.5,2024-12-31
226,43,<40k,Good,South,Mass Market,5.1,2021-05-26
227,23,40k-75k,Good,Midwest,Mass Market,3.0,2023-07-02
228,47,200k+,Excellent,Midwest,Mass Market,4.4,2022-02-05
229,79,40k-75k,Good,Northeast,Mass Market,9.2,2017-04-19
230,30,<40k,Good,Midwest,Mass Market,6.8,2019-09-13
231,42,200k+,Fair,West,Mass Market,0.9,2025-08-07
232,68,75k-125k,Poor,West,Mass Market,1.7,2024-10-19
233,55,75k-125k,Good,West,Affluent,13.8,2012-09-12
234,61,75k-125k,Excellent,Northeast,Mass Market,14.2,2012-04-19
235,23,200k+,Excellent,Midwest,Affluent,3.1,2023-05-26
236,63,75k-125k,Excellent,South,Mass Market,1.8,2024-09-12
237,21,<40k,Fair,South,Mass Market,5.9,2020-08-07
238,63,75k-125k,Good,Northeast,Affluent,0.2,2026-04-19
239,51,200k+,Excellent,West,Mass Market,2.1,2024-05-25
240,41,40k-75k,Poor,West,Mass Market,1.3,2025-03-14
241,52,40k-75k,Excellent,South,Mass Market,4.8,2021-09-12
242,60,<40k,Excellent,West,Mass Market,3.7,2022-10-19
243,56,125k-200k,Good,Northeast,Mass Market,2.1,2024-05-25
244,46,40k-75k,Fair,South,Mass Market,21.8,2004-09-12
245,53,40k-75k,Good,West,Mass Market,18.8,2007-09-13
246,42,200k+,Good,Northeast,Mass Market,3.2,2023-04-20
247,35,75k-125k,Good,Northeast,Mass Market,0.6,2025-11-24
248,74,125k-200k,Poor,Northeast,Mass Market,3.1,2023-05-26
249,50,125k-200k,Poor,West,Mass Market,2.2,2024-04-19
250,45,75k-125k,Excellent,Midwest,Mass Market,6.5,2019-12-31
251,32,125k-200k,Excellent,Midwest,Mass Market,4.1,2022-05-26
252,45,125k-200k,Excellent,South,Affluent,1.3,2025-03-14
253,25,75k-125k,Good,Midwest,Affluent,1.3,2025-03-14
254,48,40k-75k,Excellent,Midwest,Mass Market,7.0,2019-07-02
255,48,40k-75k,Good,Midwest,Mass Market,0.3,2026-03-14
256,39,125k-200k,Good,Northeast,Mass Market,11.0,2015-07-02
257,36,75k-125k,Excellent,Northeast,Affluent,2.8,2023-09-13
258,21,40k-75k,Fair,Northeast,Mass Market,6.9,2019-08-07
259,51,40k-75k,Fair,West,Mass Market,5.6,2020-11-24
260,39,200k+,Excellent,Northeast,Affluent,7.5,2018-12-31
261,41,75k-125k,Excellent,West,Mass Market,6.2,2020-04-19
262,52,75k-125k,Good,Northeast,Mass Market,2.7,2023-10-19
263,70,125k-200k,Excellent,Northeast,Mass Market,5.0,2021-07-01
264,54,125k-200k,Excellent,West,Private Banking,6.3,2020-03-13
265,21,40k-75k,Excellent,Northeast,Mass Market,14.8,2011-09-13
266,36,125k-200k,Poor,Northeast,Mass Market,1.7,2024-10-19
267,54,40k-75k,Fair,West,Mass Market,1.8,2024-09-12
268,29,40k-75k,Good,West,Mass Market,2.9,2023-08-07
269,44,200k+,Excellent,South,Private Banking,2.9,2023-08-07
270,21,75k-125k,Excellent,Midwest,Affluent,0.2,2026-04-19
271,34,75k-125k,Excellent,Northeast,Mass Market,4.7,2021-10-19
272,38,125k-200k,Fair,Midwest,Mass Market,4.0,2022-07-01
273,48,40k-75k,Good,Northeast,Mass Market,2.5,2023-12-31
274,43,75k-125k,Good,West,Mass Market,1.6,2024-11-24
275,61,125k-200k,Fair,Northeast,Mass Market,0.6,2025-11-24
276,45,125k-200k,Good,West,Affluent,7.3,2019-03-14
277,48,40k-75k,Excellent,West,Mass Market,0.5,2025-12-31
278,58,75k-125k,Fair,South,Affluent,4.4,2022-02-05
279,28,75k-125k,Excellent,South,Mass Market,4.6,2021-11-24
280,56,125k-200k,Excellent,Northeast,Affluent,4.6,2021-11-24
281,38,75k-125k,Excellent,Midwest,Affluent,0.6,2025-11-24
282,41,125k-200k,Good,South,Mass Market,25.5,2000-12-31
283,38,40k-75k,Good,Midwest,Mass Market,2.1,2024-05-25
284,75,200k+,Good,West,Private Banking,8.1,2018-05-26
285,34,125k-200k,Excellent,Northeast,Mass Market,0.3,2026-03-14
286,45,200k+,Fair,Midwest,Affluent,4.8,2021-09-12
287,48,<40k,Good,Midwest,Mass Market,6.3,2020-03-13
288,59,40k-75k,Good,Northeast,Mass Market,0.7,2025-10-19
289,37,75k-125k,Excellent,South,Affluent,3.2,2023-04-20
290,37,75k-125k,Excellent,West,Affluent,1.7,2024-10-19
291,37,75k-125k,Excellent,West,Mass Market,11.0,2015-07-02
292,47,125k-200k,Good,South,Mass Market,0.5,2025-12-31
293,42,200k+,Fair,South,Affluent,22.2,2004-04-19
294,26,<40k,Fair,West,Mass Market,0.9,2025-08-07
295,58,125k-200k,Excellent,South,Mass Market,0.3,2026-03-14
296,43,125k-200k,Good,South,Affluent,4.0,2022-07-01
297,26,125k-200k,Fair,West,Mass Market,1.2,2025-04-19
298,50,75k-125k,Fair,Midwest,Mass Market,1.6,2024-11-24
299,37,125k-200k,Poor,South,Affluent,1.3,2025-03-14
300,58,75k-125k,Good,West,Mass Market,3.4,2023-02-06
301,44,75k-125k,Good,South,Mass Market,3.3,2023-03-14
302,42,40k-75k,Good,South,Mass Market,2.3,2024-03-13
303,38,75k-125k,Good,South,Mass Market,4.2,2022-04-19
304,26,75k-125k,Excellent,Midwest,Mass Market,5.0,2021-07-01
305,21,125k-200k,Poor,South,Affluent,28.0,1998-07-01
306,22,200k+,Good,Midwest,Private Banking,0.2,2026-04-19
307,42,75k-125k,Excellent,Midwest,Affluent,7.1,2019-05-26
308,38,40k-75k,Good,South,Mass Market,12.1,2014-05-26
309,56,75k-125k,Good,South,Affluent,4.4,2022-02-05
310,56,75k-125k,Excellent,Midwest,Mass Market,9.8,2016-09-12
311,32,125k-200k,Excellent,Northeast,Affluent,3.1,2023-05-26
312,44,200k+,Excellent,West,Private Banking,2.8,2023-09-13
313,46,75k-125k,Good,West,Mass Market,1.5,2024-12-31
314,55,75k-125k,Fair,Midwest,Mass Market,11.5,2014-12-31
315,29,40k-75k,Good,Northeast,Mass Market,0.3,2026-03-14
316,52,75k-125k,Fair,Northeast,Mass Market,0.5,2025-12-31
317,49,75k-125k,Excellent,South,Mass Market,8.0,2018-07-01
318,47,40k-75k,Excellent,Midwest,Mass Market,0.2,2026-04-19
319,36,125k-200k,Good,West,Affluent,2.5,2023-12-31
320,67,40k-75k,Fair,West,Mass Market,2.2,2024-04-19
321,38,40k-75k,Fair,South,Mass Market,0.2,2026-04-19
322,23,<40k,Good,South,Mass Market,10.8,2015-09-13
323,21,40k-75k,Good,South,Mass Market,0.3,2026-03-14
324,30,40k-75k,Fair,Midwest,Mass Market,11.7,2014-10-19
325,28,200k+,Poor,South,Affluent,0.2,2026-04-19
326,51,125k-200k,Excellent,West,Affluent,4.4,2022-02-05
327,57,75k-125k,Good,South,Mass Market,2.0,2024-07-01
328,43,200k+,Excellent,Northeast,Affluent,4.5,2021-12-31
329,38,125k-200k,Good,Northeast,Affluent,7.7,2018-10-19
330,35,200k+,Fair,Northeast,Affluent,12.9,2013-08-07
331,21,<40k,Good,South,Mass Market,4.1,2022-05-26
332,70,40k-75k,Poor,South,Mass Market,8.1,2018-05-26
333,46,75k-125k,Excellent,West,Mass Market,10.8,2015-09-13
334,46,40k-75k,Poor,West,Mass Market,1.7,2024-10-19
335,50,<40k,Good,Northeast,Mass Market,1.5,2024-12-31
336,40,75k-125k,Good,Midwest,Mass Market,1.5,2024-12-31
337,21,40k-75k,Good,Midwest,Mass Market,0.2,2026-04-19
338,44,75k-125k,Excellent,Midwest,Mass Market,2.0,2024-07-01
339,34,<40k,Good,Northeast,Mass Market,5.9,2020-08-07
340,45,200k+,Poor,West,Affluent,0.5,2025-12-31
341,72,75k-125k,Excellent,West,Mass Market,0.2,2026-04-19
342,58,75k-125k,Fair,South,Mass Market,0.2,2026-04-19
343,67,75k-125k,Fair,Northeast,Affluent,4.5,2021-12-31
344,35,200k+,Fair,Northeast,Affluent,7.1,2019-05-26
345,45,125k-200k,Excellent,Northeast,Mass Market,2.3,2024-03-13
346,46,200k+,Excellent,Midwest,Mass Market,14.8,2011-09-13
347,38,40k-75k,Fair,South,Mass Market,3.7,2022-10-19
348,47,40k-75k,Good,South,Mass Market,0.5,2025-12-31
349,26,75k-125k,Good,Midwest,Mass Market,10.7,2015-10-19
350,59,200k+,Good,Northeast,Affluent,1.7,2024-10-19
351,37,75k-125k,Excellent,Midwest,Mass Market,18.3,2008-03-13
352,39,200k+,Excellent,South,Private Banking,3.5,2022-12-31
353,41,<40k,Excellent,West,Mass Market,0.5,2025-12-31
354,36,40k-75k,Poor,Northeast,Mass Market,1.0,2025-07-01
355,32,<40k,Fair,Northeast,Mass Market,0.5,2025-12-31
356,42,75k-125k,Excellent,Northeast,Affluent,7.2,2019-04-20
357,45,200k+,Good,South,Affluent,7.6,2018-11-25
358,21,75k-125k,Excellent,West,Mass Market,0.8,2025-09-12
359,37,125k-200k,Good,Midwest,Mass Market,10.5,2015-12-31
360,50,40k-75k,Good,Northeast,Mass Market,1.0,2025-07-01
361,44,125k-200k,Good,West,Mass Market,0.2,2026-04-19
362,33,75k-125k,Good,Midwest,Mass Market,1.5,2024-12-31
363,37,125k-200k,Fair,West,Mass Market,4.2,2022-04-19
364,33,200k+,Excellent,Midwest,Private Banking,2.1,2024-05-25
365,60,200k+,Excellent,West,Mass Market,1.9,2024-08-07
366,34,125k-200k,Good,Northeast,Mass Market,7.4,2019-02-06
367,43,<40k,Good,Midwest,Mass Market,7.5,2018-12-31
368,52,75k-125k,Excellent,West,Affluent,10.4,2016-02-06
369,51,75k-125k,Excellent,West,Mass Market,5.2,2021-04-19
370,21,40k-75k,Poor,West,Mass Market,3.8,2022-09-13
371,40,125k-200k,Good,West,Mass Market,2.7,2023-10-19
372,51,40k-75k,Poor,Midwest,Mass Market,2.8,2023-09-13
373,30,125k-200k,Poor,Midwest,Mass Market,10.1,2016-05-25
374,51,<40k,Fair,Northeast,Mass Market,3.2,2023-04-20
375,46,40k-75k,Fair,Midwest,Mass Market,1.0,2025-07-01
376,36,40k-75k,Fair,South,Mass Market,16.4,2010-02-05
377,40,125k-200k,Excellent,Midwest,Mass Market,22.8,2003-09-13
378,56,<40k,Good,Northeast,Mass Market,1.2,2025-04-19
379,44,75k-125k,Fair,West,Mass Market,12.7,2013-10-19
380,45,125k-200k,Good,West,Mass Market,10.3,2016-03-13
381,51,75k-125k,Good,Midwest,Mass Market,9.7,2016-10-19
382,64,<40k,Fair,Midwest,Mass Market,0.8,2025-09-12
383,59,125k-200k,Good,Northeast,Affluent,8.9,2017-08-07
384,23,<40k,Poor,Midwest,Mass Market,0.6,2025-11-24
385,52,125k-200k,Excellent,Northeast,Affluent,2.5,2023-12-31
386,58,200k+,Good,Midwest,Mass Market,17.6,2008-11-24
387,41,40k-75k,Fair,Midwest,Mass Market,1.9,2024-08-07
388,49,125k-200k,Good,Northeast,Affluent,0.6,2025-11-24
389,21,40k-75k,Fair,Northeast,Mass Market,1.8,2024-09-12
390,44,<40k,Good,South,Mass Market,5.3,2021-03-14
391,53,75k-125k,Good,South,Mass Market,4.1,2022-05-26
392,59,75k-125k,Poor,Northeast,Mass Market,3.7,2022-10-19
393,34,<40k,Excellent,West,Mass Market,0.6,2025-11-24
394,48,125k-200k,Fair,Northeast,Affluent,3.2,2023-04-20
395,47,<40k,Excellent,Midwest,Mass Market,8.3,2018-03-14
396,40,75k-125k,Good,Midwest,Affluent,6.7,2019-10-19
397,60,40k-75k,Good,West,Mass Market,5.9,2020-08-07
398,63,75k-125k,Excellent,Midwest,Mass Market,0.4,2026-02-05
399,37,200k+,Good,Midwest,Affluent,11.6,2014-11-25
400,41,<40k,Poor,Northeast,Affluent,5.1,2021-05-26
401,41,<40k,Excellent,Midwest,Mass Market,1.5,2024-12-31
402,43,125k-200k,Excellent,South,Mass Market,9.0,2017-07-01
403,48,200k+,Good,South,Mass Market,3.6,2022-11-25
404,63,200k+,Excellent,South,Private Banking,1.4,2025-02-05
405,29,125k-200k,Excellent,West,Mass Market,2.3,2024-03-13
406,44,200k+,Excellent,Northeast,Affluent,6.1,2020-05-25
407,37,200k+,Good,Northeast,Mass Market,4.0,2022-07-01
408,43,75k-125k,Good,South,Mass Market,7.2,2019-04-20
409,38,75k-125k,Good,West,Mass Market,1.4,2025-02-05
410,47,75k-125k,Good,South,Mass Market,23.8,2002-09-13
411,22,75k-125k,Good,West,Mass Market,1.7,2024-10-19
412,64,75k-125k,Poor,West,Mass Market,1.9,2024-08-07
413,35,200k+,Good,Northeast,Affluent,7.0,2019-07-02
414,38,40k-75k,Fair,South,Mass Market,1.3,2025-03-14
415,43,<40k,Excellent,Northeast,Mass Market,4.3,2022-03-14
